,program_id,title,tag_genre,mean_age,count_episodes,mean_episode_duration,count_profile_adult,count_profile_kid,count_profile_home,count_profile_f,count_profile_m,count_profile_like,count_profile_not_like,count_profile_view,program_seconds_duration,total_seconds_viewed,seconds_viewed_liked,seconds_viewed_not_like,program_description,ratio_liked,tag_sous_genre_1,tag_sous_genre_2,description_lower,description_clean,description_ready
562,48070,Monsieur Bout-de-Bois,jeunesse,34.0,1.0,1640.0,182,15,61,125,42,227,33,260,1640.0,561547.0,541920.0,19627.0,"Monsieur Bout-de-Bois vit heureux avec sa femme et ses trois enfants. Un matin, son footing est brutalement interrompu par un chien qui le prend pour un simple bâton. C'est le début des ennuis pour monsieur Bout-de-Bois.",87.31,3-5-ans,,"monsieur bout-de-bois vit heureux avec sa femme et ses trois enfants. un matin, son footing est brutalement interrompu par un chien qui le prend pour un simple bâton. c'est le début des ennuis pour monsieur bout-de-bois.","['Monsieur', 'voir', 'heureux', 'femme', 'enfant', 'matin', 'footing', 'brutalement', 'interrompre', 'chien', 'prendre', 'simple', 'bâton', 'début', 'ennui', 'Monsieur']",Monsieur voir heureux femme enfant matin footing brutalement interrompre chien prendre simple bâton début ennui Monsieur
347,47490,Meurtres au pays des Maures,telefilms,49.0,1.0,5428.0,535,0,7,328,157,471,72,543,5428.0,2983475.0,2852360.0,131115.0,"Au coeur du massif de La Sainte Victoire, théâtre d'affrontements lors des invasions par les Sarrasins, en 975, un corps criblé de flèches est découvert par des militaires. Diane Giraud, Lieutenant chargée de l'enquête, se retrouve associée au Capitaine Alex Lançon, officier juriste. Ils ne tardent pas à découvrir que les flèches sont des reproductions d'un héros local, l'Archer Noir.",86.74,drame,policier,"au coeur du massif de la sainte victoire, théâtre d'affrontements lors des invasions par les sarrasins, en 975, un corps criblé de flèches est découvert par des militaires. diane giraud, lieutenant chargée de l'enquête, se retrouve associée au capitaine alex lançon, officier juriste. ils ne tardent pas à découvrir que les flèches sont des reproductions d'un héros local, l'archer noir.","['coeur', 'massif', 'saint', 'victoire', 'théâtre', 'affrontement', 'invasion', 'sarrasin', 'corps', 'cribler', 'flèche', 'découvrir', 'militaire', 'dian', 'giraud', 'lieutenant', 'charger', 'enquête', 'retrouve', 'associer', 'capitaine', 'alex', 'lançon', 'officier', 'juriste', 'tarder', 'découvrir', 'flèche', 'reproduction', 'héros', 'local', 'archer', 'noir']",coeur massif saint victoire théâtre affrontement invasion sarrasin corps cribler flèche découvrir militaire dian giraud lieutenant charger enquête retrouve associer capitaine alex lançon officier juriste tarder découvrir flèche reproduction héros local archer noir
430,46841,Meurtres à l'île d'Yeu,telefilms,47.0,1.0,5587.0,423,0,10,278,112,374,60,434,5587.0,2384975.0,2276711.0,108264.0,"Isabelle Bonnefoy, célèbre navigatrice, et son fils Noé se rendent en bateau à l'île d'Yeu en Vendée, fief de la famille. Ils interceptent un signal d'urgence : un navire de plaisance a sombré. Sur place, Isabelle et Noé découvrent un cadavre décapité flottant. L'enquête est menée par le commandant Nicolas Lemeur. Les tensions sont vives entre Nicolas et Isabelle, car ils ont vécu naguère une grande histoire d'amour qui s’est mal finie.",86.18,policier,,"isabelle bonnefoy, célèbre navigatrice, et son fils noé se rendent en bateau à l'île d'yeu en vendée, fief de la famille. ils interceptent un signal d'urgence : un navire de plaisance a sombré. sur place, isabelle et noé découvrent un cadavre décapité flottant. l'enquête est menée par le commandant nicolas lemeur. les tensions sont vives entre nicolas et isabelle, car ils ont vécu naguère une grande histoire d'amour qui s’est mal finie.","['isabelle', 'bonnefoy', 'célèbre', 'navigateur', 'fils', 'noé', 'bateau', 'île', 'yeu', 'vender', 'fief', 'famille', 'intercepter', 'signal', 'urgence', 'navire', 'plaisance', 'sombrer', 'place', 'isabelle', 'noé', 'découvrir', 'cadavre', 'décapité', 'flotter', 'enquête', 'mener', 'commandant', 'nicola', 'lemeur', 'tension', 'vivre', 'nicola', 'isabelle', 'vivre', 'naguère', 'grand', 'histoire', 'amour', 'mal', 'finie']",isabelle bonnefoy célèbre navigateur fils noé bateau île yeu vender fief famille intercepter signal urgence navire plaisance sombrer place isabelle noé découvrir cadavre décapité flotter enquête mener commandant nicola lemeur tension vivre nicola isabelle vivre naguère grand histoire amour mal finie
279,46191,Le prix de la loyauté,telefilms,45.0,1.0,5393.0,702,0,13,461,171,610,108,718,5393.0,3937510.0,3758319.0,179191.0,"Le capitaine Paul Danceny se retrouve en garde à vue. Il a été trouvé penché sur le corps de Gabriel Vasseur, médecin dans une clinique renommée de chirurgie esthétique, Vandeuil. Paul n’est pas étranger à l’affaire : il est l’amant de la femme du directeur de la clinique. Marie Jourdan vole au secours de son ami et coéquipier. Elle le fait sortir de garde à vue. À la recherche de l’assassin, ils plongent dans les secrets de la clinique. Et l’enquête leur réservera bien des surprises...",84.96,drame,policier,"le capitaine paul danceny se retrouve en garde à vue. il a été trouvé penché sur le corps de gabriel vasseur, médecin dans une clinique renommée de chirurgie esthétique, vandeuil. paul n’est pas étranger à l’affaire : il est l’amant de la femme du directeur de la clinique. marie jourdan vole au secours de son ami et coéquipier. elle le fait sortir de garde à vue. à la recherche de l’assassin, ils plongent dans les secrets de la clinique. et l’enquête leur réservera bien des surprises...","['capitaine', 'paul', 'danceny', 'retrouve', 'garde', 'vue', 'trouver', 'pencher', 'corps', 'gabriel', 'vasseur', 'médecin', 'clinique', 'renommer', 'chirurgie', 'esthétique', 'vandeuil', 'paul', 'étranger', 'affaire', 'amant', 'femme', 'directeur', 'clinique', 'marie', 'jourdan', 'vole', 'secours', 'ami', 'coéquipier', 'sortir', 'garde', 'vue', 'recherche', 'assassin', 'plongent', 'secret', 'clinique', 'enquête', 'réserver', 'bien', 'surprise']",capitaine paul danceny retrouve garde vue trouver pencher corps gabriel vasseur médecin clinique renommer chirurgie esthétique vandeuil paul étranger affaire amant femme directeur clinique marie jourdan vole secours ami coéquipier sortir garde vue recherche assassin plongent secret clinique enquête réserver bien surprise
248,51188,"Princesse à Dubaï, prisonnière du désert",documentaire,38.0,1.0,3041.0,789,0,22,574,154,688,124,812,3041.0,2462375.0,2334613.0,127762.0,"Le documentaire retrace la vie de la princesse Latifa et révèle comment elle avait planifié son évasion depuis plus de sept ans. Loin de vivre un de conte de fées, elle était surveillée en permanence par son père, l'influent Cheikh Mohammed Al Maktoum, Premier ministre des Émirats Arabes Unis et avait été séquestrée et torturée pour une précédente tentative de fugue ! Mais le film enquête aussi sur le mystère de Shamsa, sœur aînée de Latifa, qui a disparu des rues de Cambridge en 2000...",84.73,societe,,"le documentaire retrace la vie de la princesse latifa et révèle comment elle avait planifié son évasion depuis plus de sept ans. loin de vivre un de conte de fées, elle était surveillée en permanence par son père, l'influent cheikh mohammed al maktoum, premier ministre des émirats arabes unis et avait été séquestrée et torturée pour une précédente tentative de fugue ! mais le film enquête aussi sur le mystère de shamsa, sœur aînée de latifa, qui a disparu des rues de cambridge en 2000...","['documentaire', 'retracer', 'princesse', 'latifa', 'révéler', 'planifier', 'évasion', 'loin', 'vivre', 'conte', 'fée', 'surveiller', 'permanence', 'père', 'influent', 'cheikh', 'mohammed', 'al', 'maktoum', 'ministre', 'émirat', 'arabe', 'unis', 'séquestrer', 'torturer', 'précédente', 'tentative', 'fugue', 'film', 'enquête', 'mystère', 'shamsa', 'sœur', 'aîné', 'latifa', 'disparaître', 'rue', 'cambridge']",documentaire retracer princesse latifa révéler planifier évasion loin vivre conte fée surveiller permanence père influent cheikh mohammed al maktoum ministre émirat arabe unis séquestrer torturer précédente tentative fugue film enquête mystère shamsa sœur aîné latifa disparaître rue cambridge
856,51525,Lincoln : A la poursuite du Bone Collector,series,40.0,1.0,2445.0,107,0,3,72,30,93,17,110,2445.0,254983.0,240448.0,14535.0,"Lorsque le plus célèbre criminologue des Etats-Unis tombe dans le piège macabre de son pire ennemi, un tueur en série connu sous le nom de «Bone Collector», les conséquences sont dramatiques…
Devenu infirme, Lincoln Rhyme n’a pas pour autant...",84.55,policier,,"lorsque le plus célèbre criminologue des etats-unis tombe dans le piège macabre de son pire ennemi, un tueur en série connu sous le nom de «bone collector», les conséquences sont dramatiques…
devenu infirme, lincoln rhyme n’a pas pour autant...","['célèbre', 'criminologue', 'tombe', 'piège', 'macabre', 'pire', 'ennemi', 'tueur', 'série', 'connaître', 'nom', 'bon', 'collector', 'conséquence', 'dramatiquer', 'devenir', 'infirme', 'lincoln', 'rhym', 'autant']",célèbre criminologue tombe piège macabre pire ennemi tueur série connaître nom bon collector conséquence dramatiquer devenir infirme lincoln rhym autant
197,46779,Le prix de la vérité,telefilms,46.0,1.0,5515.0,995,0,21,673,232,857,161,1018,5515.0,5642582.0,5382680.0,259902.0,"À Saint-Paul-de-Vence, on retrouve le cadavre d'une jeune femme dans la piscine d'un hôtel de luxe. Chargée de l'affaire, la gendarmerie locale se voit adjoindre les services du capitaine Marie Jourdan, de la Police judiciaire de Lyon. La collaboration entre cette femme flic de choc et ses confrères de Saint-Paul-de-Vence s'annonce pour le moins délicate, d'autant que Marie Jourdan n'est pas du genre à ménager les puissantes figures locales.",84.18,drame,policier,"à saint-paul-de-vence, on retrouve le cadavre d'une jeune femme dans la piscine d'un hôtel de luxe. chargée de l'affaire, la gendarmerie locale se voit adjoindre les services du capitaine marie jourdan, de la police judiciaire de lyon. la collaboration entre cette femme flic de choc et ses confrères de saint-paul-de-vence s'annonce pour le moins délicate, d'autant que marie jourdan n'est pas du genre à ménager les puissantes figures locales.","['retrouve', 'cadavre', 'jeune', 'femme', 'piscine', 'hôtel', 'luxe', 'charger', 'affaire', 'gendarmerie', 'local', 'voir', 'adjoindre', 'service', 'capitaine', 'marie', 'jourdan', 'police', 'judiciaire', 'lyon', 'collaboration', 'femme', 'flic', 'choc', 'confrère', 'annonce', 'délicat', 'autant', 'marie', 'jourdan', 'genre', 'ménager', 'puissante', 'figure', 'local']",retrouve cadavre jeune femme piscine hôtel luxe charger affaire gendarmerie local voir adjoindre service capitaine marie jourdan police judiciaire lyon collaboration femme flic choc confrère annonce délicat autant marie jourdan genre ménager puissante figure local
310,47701,Confessions d'un psychopathe,documentaire,40.0,1.0,2746.0,615,0,16,451,121,531,101,632,2746.0,1794315.0,1690357.0,103958.0,"Piers Morgan se retrouve face à Paris Bennett, diagnostiqué psychopathe avec un QI de génie. Depuis sa geôle texane, Paris Bennett explique à Piers Morgan pourquoi, à 13 ans, il a tué sa jeune sœur, âgée de 4 ans, pour punir leur mère… Un criminel plus intelligent, plus rusé et plus manipulateur que tous ceux que Piers Morgan a rencontrés auparavant !",84.02,affaires-criminelles,,"piers morgan se retrouve face à paris bennett, diagnostiqué psychopathe avec un qi de génie. depuis sa geôle texane, paris bennett explique à piers morgan pourquoi, à 13 ans, il a tué sa jeune sœur, âgée de 4 ans, pour punir leur mère… un criminel plus intelligent, plus rusé et plus manipulateur que tous ceux que piers morgan a rencontrés auparavant !","['pier', 'morgan', 'retrouve', 'face', 'pari', 'bennett', 'diagnostiquer', 'psychopathe', 'qi', 'génie', 'geôle', 'texan', 'pari', 'bennett', 'explique', 'pier', 'morgan', 'tuer', 'jeune', 'sœur', 'âger', 'punir', 'mère', 'criminel', 'intelliger', 'ruser', 'manipulateur', 'pier', 'morgan', 'rencontrer', 'auparavant']",pier morgan retrouve face pari bennett diagnostiquer psychopathe qi génie geôle texan pari bennett explique pier morgan tuer jeune sœur âger punir mère criminel intelliger ruser manipulateur pier morgan rencontrer auparavant
476,45092,Meurtres à Guérande,telefilms,48.0,1.0,5485.0,373,0,7,237,106,319,61,380,5485.0,2222549.0,2129764.0,92785.0,"Lors d’une enquête de routine dans un cimetière, Marie découvre au fond d’un caveau, dont les portes ont été récemment forcées, la tête d’un homme, fraîchement coupée, reposant dans le cercueil d’une jeune fille morte il y a 15 ans. Quand Marie arrive sur place, elle découvre que Vincent Becker l’a précédé et se retrouve en charge de l’affaire. Elle devra donc officier sous ses ordres en collaboration avec la police Nantaise",83.95,policier,,"lors d’une enquête de routine dans un cimetière, marie découvre au fond d’un caveau, dont les portes ont été récemment forcées, la tête d’un homme, fraîchement coupée, reposant dans le cercueil d’une jeune fille morte il y a 15 ans. quand marie arrive sur place, elle découvre que vincent becker l’a précédé et se retrouve en charge de l’affaire. elle devra donc officier sous ses ordres en collaboration avec la police nantaise","['enquête', 'routine', 'cimetière', 'marie', 'découvrir', 'fond', 'caveau', 'porte', 'récemment', 'forcer', 'tête', 'homme', 'fraîchement', 'couper', 'reposer', 'cercueil', 'jeune', 'fille', 'mourir', 'y', 'marie', 'arrive', 'place', 'découvrir', 'vincent', 'becker', 'précéder', 'retrouve', 'charge', 'affaire', 'devoir', 'officier', 'ordre', 'collaboration', 'police', 'nantais']",enquête routine cimetière marie découvrir fond caveau porte récemment forcer tête homme fraîchement couper reposer cercueil jeune fille mourir y marie arrive place découvrir vincent becker précéder retrouve charge affaire devoir officier ordre collaboration police nantais
23,51286,Meurtres à la Pointe du Raz,telefilms,49.0,1.0,5583.0,8039,2,77,5187,2069,6815,1319,8134,5583.0,45701262.0,43398869.0,2302393.0,"Au pied de la Pointe du Raz, le corps d’une vielle femme est retrouvé échoué sur la plage. Ce qui ressemble à une noyade accidentelle va très vite s’avérer être un meurtre. Une affaire criminelle d’autant plus étrange qu’elle réveille une vieille légende Bretonne encore vivace dans la région, celle de l’Ankou. Cet ouvrier de la mort, qui à bord de sa charrette, recueille les âmes des défunts pour les faire passer sur l’autre rive",83.78,policier,,"au pied de la pointe du raz, le corps d’une vielle femme est retrouvé échoué sur la plage. ce qui ressemble à une noyade accidentelle va très vite s’avérer être un meurtre. une affaire criminelle d’autant plus étrange qu’elle réveille une vieille légende bretonne encore vivace dans la région, celle de l’ankou. cet ouvrier de la mort, qui à bord de sa charrette, recueille les âmes des défunts pour les faire passer sur l’autre rive","['pied', 'pointe', 'raz', 'corps', 'vielle', 'femme', 'retrouver', 'échouer', 'plage', 'ressemble', 'noyade', 'accidentel', 'très', 'vite', 'avérer', 'meurtre', 'affaire', 'criminel', 'autant', 'étrange', 'réveille', 'vieux', 'légende', 'bretonne', 'vivace', 'région', 'ankou', 'ouvrier', 'mort', 'bord', 'charrette', 'recueillir', 'âme', 'défunt', 'passer', 'rive']",pied pointe raz corps vielle femme retrouver échouer plage ressemble noyade accidentel très vite avérer meurtre affaire criminel autant étrange réveille vieux légende bretonne vivace région ankou ouvrier mort bord charrette recueillir âme défunt passer rive
445,47889,Meurtre à Rocamadour,telefilms,50.0,1.0,5385.0,406,0,10,244,120,349,68,417,5385.0,2144085.0,2041802.0,102283.0,"Le cadavre d'un homme est retrouvé sur les marches du chemin du pénitent à Rocamadour. Avant de le tuer, on l'a manifestement forcé à faire un pèlerinage expiatoire comme au Moyen Age. A quelques jours de sa retraite, le commandant Sophie Lacaze doit faire équipe avec son remplaçant pour tenter d'élucider le mystère !",83.69,policier,,"le cadavre d'un homme est retrouvé sur les marches du chemin du pénitent à rocamadour. avant de le tuer, on l'a manifestement forcé à faire un pèlerinage expiatoire comme au moyen age. a quelques jours de sa retraite, le commandant sophie lacaze doit faire équipe avec son remplaçant pour tenter d'élucider le mystère !","['cadavre', 'homme', 'retrouver', 'marche', 'chemin', 'pénitent', 'rocamadour', 'tuer', 'manifestement', 'forcer', 'pèlerinage', 'expiatoire', 'moyen', 'age', 'jour', 'retraite', 'commandant', 'sophie', 'lacaze', 'devoir', 'équipe', 'remplaçant', 'tenter', 'élucider', 'mystère']",cadavre homme retrouver marche chemin pénitent rocamadour tuer manifestement forcer pèlerinage expiatoire moyen age jour retraite commandant sophie lacaze devoir équipe remplaçant tenter élucider mystère
547,45093,Meurtres à Dunkerque,telefilms,45.0,1.0,5808.0,279,0,6,188,67,239,47,286,5808.0,1603964.0,1521395.0,82569.0,"Alors que le très populaire Carnaval de Dunkerque bat son plein, le corps d’un homme est retrouvé pendu en haut d’un mât de voilier. Le capitaine Janie Roussel, une adepte de cette vieille tradition , va enquêter au côté du lieutenant parisien Eric Dampierre, fraîchement débarqué dans le nord. Leur complicité, évidente au premier coup d’œil, va être mise à rude épreuve tant l’enquête criminelle se révèlera insoluble dans une ville toute entière aux couleurs de la fête.",83.57,policier,thriller-suspense,"alors que le très populaire carnaval de dunkerque bat son plein, le corps d’un homme est retrouvé pendu en haut d’un mât de voilier. le capitaine janie roussel, une adepte de cette vieille tradition , va enquêter au côté du lieutenant parisien eric dampierre, fraîchement débarqué dans le nord. leur complicité, évidente au premier coup d’œil, va être mise à rude épreuve tant l’enquête criminelle se révèlera insoluble dans une ville toute entière aux couleurs de la fête.","['très', 'populaire', 'carnaval', 'dunkerqu', 'plein', 'corps', 'homme', 'retrouver', 'pendre', 'haut', 'mât', 'voilier', 'capitaine', 'janie', 'roussel', 'adepte', 'vieux', 'tradition', 'enquêter', 'côté', 'lieutenant', 'parisien', 'eric', 'dampierre', 'fraîchement', 'débarquer', 'nord', 'complicité', 'évidente', 'coup', 'œil', 'mettre', 'rude', 'épreuve', 'enquête', 'criminel', 'révèler', 'insoluble', 'ville', 'entier', 'couleur', 'fête']",très populaire carnaval dunkerqu plein corps homme retrouver pendre haut mât voilier capitaine janie roussel adepte vieux tradition enquêter côté lieutenant parisien eric dampierre fraîchement débarquer nord complicité évidente coup œil mettre rude épreuve enquête criminel révèler insoluble ville entier couleur fête
344,46898,Meurtres à Brides-les-Bains,telefilms,49.0,1.0,5385.0,556,0,14,347,144,476,94,570,5385.0,3083097.0,2957076.0,126021.0,"Gabrielle Sandraz, journaliste qui vit sur les hauteurs de Brides-les-bains, est confrontée à l'assassinat de Georges, son mari, qui s'était enfui du village il y a dix ans, après avoir été accusé de meurtre. C'est le commandant Julien Forest, 45 ans, qui est en charge de l'affaire. Il s'avère que ces deux-là ne sont pas des inconnus l'un pour l'autre.",83.51,policier,,"gabrielle sandraz, journaliste qui vit sur les hauteurs de brides-les-bains, est confrontée à l'assassinat de georges, son mari, qui s'était enfui du village il y a dix ans, après avoir été accusé de meurtre. c'est le commandant julien forest, 45 ans, qui est en charge de l'affaire. il s'avère que ces deux-là ne sont pas des inconnus l'un pour l'autre.","['gabriell', 'sandraz', 'journaliste', 'voir', 'hauteur', 'confronter', 'assassinat', 'george', 'mari', 'enfuir', 'village', 'y', 'accuser', 'meurtre', 'commandant', 'julien', 'forest', 'charge', 'affaire', 'avérer', 'inconnu']",gabriell sandraz journaliste voir hauteur confronter assassinat george mari enfuir village y accuser meurtre commandant julien forest charge affaire avérer inconnu
373,46450,Meurtres à Colmar,telefilms,48.0,1.0,5492.0,510,0,13,311,151,437,87,524,5492.0,2824697.0,2688045.0,136652.0,"Etienne Ronsard, chirurgien, se retrouve après le décès de son fils, Major de la Crime à Colmar, face à son petit-fils qu’il ne connaît pas. Et pour cause, le père et le fils ne se voyaient plus depuis de nombreuses années. Pour Etienne, pas question de laisser cet enfant dans le tourment de l’image d’un père que l’on accuse d’être un drogué qui a perdu le contrôle de son véhicule, et entraîné dans la mort son coéquipier.",83.4,policier,,"etienne ronsard, chirurgien, se retrouve après le décès de son fils, major de la crime à colmar, face à son petit-fils qu’il ne connaît pas. et pour cause, le père et le fils ne se voyaient plus depuis de nombreuses années. pour etienne, pas question de laisser cet enfant dans le tourment de l’image d’un père que l’on accuse d’être un drogué qui a perdu le contrôle de son véhicule, et entraîné dans la mort son coéquipier.","['etienne', 'ronsard', 'chirurgien', 'retrouve', 'décès', 'fils', 'major', 'crime', 'colmar', 'face', 'connaître', 'cause', 'père', 'fils', 'voir', 'année', 'etienne', 'question', 'enfant', 'tourment', 'image', 'père', 'accuse', 'drogué', 'perdre', 'contrôle', 'véhicule', 'entraîner', 'mort', 'coéquipier']",etienne ronsard chirurgien retrouve décès fils major crime colmar face connaître cause père fils voir année etienne question enfant tourment image père accuse drogué perdre contrôle véhicule entraîner mort coéquipier
329,47892,Meurtres à Saint-Malo,telefilms,47.0,1.0,5428.0,584,0,13,349,174,498,101,599,5428.0,3162036.0,3003876.0,158160.0,La capitaine de la PJ de Rennes enquête sur la découverte d'un cadavre retrouvé sur la plage de Saint-Malo. Elle essaie de convaincre son co-équipier temporaire que leur affaire est liée à de la piraterie.,83.14,policier,,la capitaine de la pj de rennes enquête sur la découverte d'un cadavre retrouvé sur la plage de saint-malo. elle essaie de convaincre son co-équipier temporaire que leur affaire est liée à de la piraterie.,"['capitaine', 'pj', 'renne', 'enquête', 'découverte', 'cadavre', 'retrouver', 'plage', 'essayer', 'convaincre', 'temporaire', 'affaire', 'lier', 'piraterie']",capitaine pj renne enquête découverte cadavre retrouver plage essayer convaincre temporaire affaire lier piraterie
67,46075,La part du soupçon,telefilms,41.0,2.0,2708.0,3126,0,63,2203,709,2655,539,3194,5416.0,16666127.0,15759545.0,906582.0,"Alice vit le bonheur ordinaire d'une mère de famille quand tout bascule : l'homme de sa vie, Thomas, le père de son enfant, est soupçonné d'être Antoine Durieux-Jelosse, l'homme qui a défrayé la chronique pour avoir disparu après avoir tué toute sa famille quinze ans auparavant",83.12,drame,thriller-suspense,"alice vit le bonheur ordinaire d'une mère de famille quand tout bascule : l'homme de sa vie, thomas, le père de son enfant, est soupçonné d'être antoine durieux-jelosse, l'homme qui a défrayé la chronique pour avoir disparu après avoir tué toute sa famille quinze ans auparavant","['alice', 'voir', 'bonheur', 'ordinaire', 'mère', 'famille', 'bascule', 'homme', 'thomas', 'père', 'enfant', 'soupçonner', 'antoine', 'durieux', 'jelosse', 'homme', 'défrayer', 'chronique', 'disparaître', 'tuer', 'famille', 'auparavant']",alice voir bonheur ordinaire mère famille bascule homme thomas père enfant soupçonner antoine durieux jelosse homme défrayer chronique disparaître tuer famille auparavant
6,51300,Le remplaçant,series,37.0,2.0,2754.5,36601,1,942,23482,10280,31090,6527,37617,5509.0,200330005.0,186532034.0,13797971.0,"Nicolas Valeyre est un prof de français original et sans complaisance, que ce soit à l'égard de ses collègues ou de ses élèves. Ses méthodes fantaisistes, sa misanthropie affichée et son style brut de décoffrage en font un OVNI dans la salle des profs. Mais il dérange autant sa hiérarchie qu'il inspire naturellement confiance à ses élèves... Sous ses dehors d’ours mal léché, c’est un hypersensible passionné, prêt à tout pour les aider à trouver leur voie.",82.65,comedie-dramatique,,"nicolas valeyre est un prof de français original et sans complaisance, que ce soit à l'égard de ses collègues ou de ses élèves. ses méthodes fantaisistes, sa misanthropie affichée et son style brut de décoffrage en font un ovni dans la salle des profs. mais il dérange autant sa hiérarchie qu'il inspire naturellement confiance à ses élèves... sous ses dehors d’ours mal léché, c’est un hypersensible passionné, prêt à tout pour les aider à trouver leur voie.","['nicola', 'valeyr', 'prof', 'français', 'original', 'complaisance', 'égard', 'collègue', 'élève', 'méthode', 'fantaisiste', 'misanthropie', 'afficher', 'style', 'brut', 'décoffrage', 'ovni', 'salle', 'prof', 'déranger', 'autant', 'hiérarchie', 'inspire', 'naturellement', 'confiance', 'élève', 'ours', 'mal', 'lécher', 'hypersensible', 'passionner', 'prêt', 'aider', 'trouver', 'voie']",nicola valeyr prof français original complaisance égard collègue élève méthode fantaisiste misanthropie afficher style brut décoffrage ovni salle prof déranger autant hiérarchie inspire naturellement confiance élève ours mal lécher hypersensible passionner prêt aider trouver voie
495,46837,Meurtres à Grasse,telefilms,45.0,1.0,5706.0,347,0,8,222,100,294,62,356,5706.0,1952706.0,1842816.0,109890.0,"A Grasse, un cadavre recouvert de graisse brûlante est découvert dans une cuve à enfleurage.Un tatouage, retrouvé sur la victime, oriente l’enquête vers la légende de la 13enote, graal mythique des parfumeurs, dont l’origine remonte à l’Egypte ancienne. Le commandant Marianne Dusseyre devra faire équipe malgré elle avec son ex-belle fille, la jeune Sophie Mournel, pour faire éclater la vérité",82.58,policier,,"a grasse, un cadavre recouvert de graisse brûlante est découvert dans une cuve à enfleurage.un tatouage, retrouvé sur la victime, oriente l’enquête vers la légende de la 13enote, graal mythique des parfumeurs, dont l’origine remonte à l’egypte ancienne. le commandant marianne dusseyre devra faire équipe malgré elle avec son ex-belle fille, la jeune sophie mournel, pour faire éclater la vérité","['grasse', 'cadavre', 'recouvrir', 'graisse', 'brûlant', 'découvrir', 'cuve', 'tatouage', 'retrouver', 'victime', 'oriente', 'enquête', 'légende', 'graal', 'mythique', 'parfumeur', 'origine', 'remont', 'egypte', 'ancien', 'commandant', 'mariann', 'dusseyr', 'devoir', 'équipe', 'malgré', 'fille', 'jeune', 'sophie', 'mournel', 'éclater', 'vérité']",grasse cadavre recouvrir graisse brûlant découvrir cuve tatouage retrouver victime oriente enquête légende graal mythique parfumeur origine remont egypte ancien commandant mariann dusseyr devoir équipe malgré fille jeune sophie mournel éclater vérité
341,46211,Meurtres en Corrèze,telefilms,49.0,1.0,5506.0,569,1,13,362,151,480,104,584,5506.0,3268304.0,3104742.0,163562.0,"Dans la ville de Tulle, comme chaque année, des processionnaires et pénitents portent la statue de Saint-Jean. Mais ce soir-là, en marge de la fête, on retrouve assassiné Samuel Marques, un artiste local. La capitaine Lena Ribeiro est obligée de collaborer avec Axel Zeller un commandant de la SRPJ de Bordeaux, son ancien grand amour. Autant dire que la collaboration entre les deux s’avère difficile pour une enquête qui ne l’est pas moins.",82.19,policier,,"dans la ville de tulle, comme chaque année, des processionnaires et pénitents portent la statue de saint-jean. mais ce soir-là, en marge de la fête, on retrouve assassiné samuel marques, un artiste local. la capitaine lena ribeiro est obligée de collaborer avec axel zeller un commandant de la srpj de bordeaux, son ancien grand amour. autant dire que la collaboration entre les deux s’avère difficile pour une enquête qui ne l’est pas moins.","['ville', 'tulle', 'année', 'processionnaire', 'pénitent', 'porter', 'statu', 'soir', 'marge', 'fête', 'retrouve', 'assassiner', 'samuel', 'marque', 'artiste', 'local', 'capitaine', 'lena', 'ribeiro', 'obliger', 'collaborer', 'axel', 'zeller', 'commandant', 'srpj', 'bordeaux', 'ancien', 'grand', 'amour', 'autant', 'collaboration', 'avère', 'difficile', 'enquête']",ville tulle année processionnaire pénitent porter statu soir marge fête retrouve assassiner samuel marque artiste local capitaine lena ribeiro obliger collaborer axel zeller commandant srpj bordeaux ancien grand amour autant collaboration avère difficile enquête
274,47898,Meurtres à Cognac,telefilms,49.0,1.0,5481.0,739,1,18,491,175,624,136,760,5481.0,3947335.0,3723148.0,224187.0,"Le maître de chai d’une grande maison de Cognac est retrouvé étranglé et brûlé. La capitaine Clémentine Segonzac est chargée de l’enquête. Elle doit collaborer avec Yassine Benjebbour un capitaine récemment arrivé des quartiers nord de Marseille. Des grandes maisons aux clients passionnés, leur enquête sur cette mort mystérieuse va les mener à explorer l’univers fascinant et secret du Cognac et éclairer d’un nouveau jour l’histoire familiale de Clémentine.",82.11,policier,,"le maître de chai d’une grande maison de cognac est retrouvé étranglé et brûlé. la capitaine clémentine segonzac est chargée de l’enquête. elle doit collaborer avec yassine benjebbour un capitaine récemment arrivé des quartiers nord de marseille. des grandes maisons aux clients passionnés, leur enquête sur cette mort mystérieuse va les mener à explorer l’univers fascinant et secret du cognac et éclairer d’un nouveau jour l’histoire familiale de clémentine.","['maître', 'cher', 'grand', 'maison', 'cognac', 'retrouver', 'étrangler', 'brûler', 'capitaine', 'clémentine', 'segonzac', 'charger', 'enquête', 'devoir', 'collaborer', 'yassin', 'benjebbour', 'capitaine', 'récemment', 'arriver', 'quartier', 'nord', 'marseille', 'grand', 'maison', 'client', 'passionner', 'enquête', 'mort', 'mystérieux', 'mener', 'explorer', 'univer', 'fasciner', 'secret', 'cognac', 'éclairer', 'jour', 'histoire', 'familial', 'clémentine']",maître cher grand maison cognac retrouver étrangler brûler capitaine clémentine segonzac charger enquête devoir collaborer yassin benjebbour capitaine récemment arriver quartier nord marseille grand maison client passionner enquête mort mystérieux mener explorer univer fasciner secret cognac éclairer jour histoire familial clémentine
